mois,jour,heure,perte
2,27,12,1485
2,27,13,1436
2,27,14,1378
2,27,15,1355
2,27,16,1377
2,27,17,1457
2,27,18,1488
2,27,19,1543
2,27,20,1466
2,27,21,1422
2,27,22,1460
2,27,23,1518
2,28,0,1429
2,28,1,1397
2,28,2,1374
2,28,3,1370
2,28,4,1374
2,28,5,1350
2,28,6,1330
2,28,7,1373
2,28,8,1393
2,28,9,1397
2,28,10,1331
2,28,11,1329
2,28,12,1364
2,28,13,1368
2,28,14,1366
2,28,15,1424
2,28,16,1475
2,28,17,1403
2,28,18,1364
2,28,19,1455
2,28,20,1410
2,28,21,1347
2,28,22,1378
2,28,23,1451
2,29,0,1424
2,29,1,1427
2,29,2,1398
2,29,3,1396
2,29,4,1375
2,29,5,1442
2,29,6,1489
2,29,7,1628
2,29,8,1743
2,29,9,1758
2,29,10,1659
2,29,11,1679
2,29,12,1717
2,29,13,1691
2,29,14,1647
2,29,15,1520
2,29,16,1511
2,29,17,1556
2,29,18,1591
2,29,19,1730
2,29,20,1583
2,29,21,1505
2,29,22,1562
2,29,23,1620
3,1,0,1521
3,1,1,1487
3,1,2,1479
3,1,3,1463
3,1,4,1481
3,1,5,1546
3,1,6,1518
3,1,7,1657
3,1,8,1692
3,1,9,1682
3,1,10,1653
3,1,11,1656
3,1,12,1643
3,1,13,1589
3,1,14,1559
3,1,15,1520
3,1,16,1525
3,1,17,1552
3,1,18,1624
3,1,19,1747
3,1,20,1647
3,1,21,1566
3,1,22,1523
3,1,23,1564
3,2,0,1528
3,2,1,1472
3,2,2,1488
3,2,3,1460
3,2,4,1500
3,2,5,1553
3,2,6,1530
3,2,7,1551
3,2,8,1571
3,2,9,1585
3,2,10,1511
3,2,11,1506
3,2,12,1512
3,2,13,1533
3,2,14,1555
3,2,15,1545
3,2,16,1569
3,2,17,1542
3,2,18,1631
3,2,19,1681
3,2,20,1538
3,2,21,1460
3,2,22,1534
3,2,23,1569
3,3,0,1516
3,3,1,1514
3,3,2,1652
3,3,3,1756
3,3,4,1772
3,3,5,1710
3,3,6,1680
3,3,7,1731
3,3,8,1721
3,3,9,1721
3,3,10,1749
3,3,11,1779
3,3,12,1752
3,3,13,1697
3,3,14,1683
3,3,15,1582
3,3,16,1604
3,3,17,1577
3,3,18,1617
3,3,19,1716
3,3,20,1526
3,3,21,1477
3,3,22,1501
3,3,23,1512
3,4,0,1453
3,4,1,1475
3,4,2,1528
3,4,3,1587
3,4,4,1678
3,4,5,1618
3,4,6,1685
3,4,7,1787
3,4,8,1761
3,4,9,1771
3,4,10,1798
3,4,11,1825
3,4,12,1750
3,4,13,1689
3,4,14,1646
3,4,15,1636
3,4,16,1633
3,4,17,1624
3,4,18,1648
3,4,19,1723
3,4,20,1681
3,4,21,1614
3,4,22,1654
3,4,23,1672
3,5,0,1675
3,5,1,1538
3,5,2,1511
3,5,3,1456
3,5,4,1497
3,5,5,1466
3,5,6,1470
3,5,7,1509
3,5,8,1543
3,5,9,1597
3,5,10,1576
